text,label
kuliah onlen kuliah onlen ada persen materi masuk otak kejar kejar bangun pagi ngezoom deadline tugas hari tumpuk,0
baru minggu pertama kuliah udah pijet kuliah onlen sengebosenin oflen ngobrol guyon lain kelas sama teman bosan aduh kali tidak survive sambat terus,0
bandung kuliah onlen jogja kuliah onlinepngn pulang,1
allah nonton kuliah onlen wkwkwkwkwkwk,2
huhu thank muchhhh bagaimana pertama kuliah onlen getting serious lanjut exam pokok have jadi orang nice hari,2
wish luck beli paket data kuliah onlen kakak moga rezeki tambah limpah aminn,2
lupa pokok inget malam kuliah onlen nonton bioskop,1
bagas kasih semangat kuliah onlen,2
potret tengah kuliah onlen bapak teriak pakeeeettt nyampe tangan langsung unboxing terus jejer gin background sipejar wkwk jadi senang liat,2
kuliah onlen mahasiswa minta ijin acara kampus jadi gimana,1
demo liga batal sekolah kuliah onlen pilih kepala daerah tidak tunda anjing,0
tidur kuliah onlen mimpi kuliah onlen benar benar ilusi,2
sakit pinggang banget gara gara kuliah onlen,0
ngurusin kung masak nasi masak lauk tetap bilang males pdhl orang satu timbang ngasi makan kung gak mau gadiapain gedeg banget elah kuliah onlen kesal banget rumah terus lelah,0
bismillah moga rezeki beli laptop kuliah onlen wish luck,2
buat banget kuliah onlen waktu jadi enak jadi dosen sabtu minggu libur ganti hari libur tugas deadline kaya hari libur banget,2
turut coba jenguk sisi selenggara buat tatib meminimalisir curang tahu kuliah onlen gin curang gampang banget lakuin sisi orang kurang kena imbas,0
pusing kuliah onlen kamu usah buat nambah pusing beban tolol,0
kuliah onlen google meet tiba keleyepan tidur buka handphone tahu tahu left panik baca whatsapp grup isi tmntmn udah absen,0
kuliah onlen tambah enak tambah lulus yaallh beri bantu,2
sedih banget kuliah onlen pandemi gin duit ada duit ada duit tidak ada duit,0
semester kuliah onlen anjimmmmm banget,1
kuliah onlen benarbenar uras habis energi,1
hari benar buat mood naik turun terima cpns sudah nikah tiba buat story kuliah onlen libur sanasini allah,2
cuma selamat pagi tanya kuliah onlen pakai ipadtab live meeting tampil laptop maksud jadi lihat terima kasih jawab,2
